Province,Region,Per capita (thousand RP),Per capita Nominal (USD)
Aceh,Sumatra,39156,2637
Bali,Lesser Sunda Islands,55544,3741
Bangka Belitung Islands,Sumatra,63752,4293
Banten,Java,60990,4107
Bengkulu,Sumatra,43742,2946
Central Java,Java,42149,2839
Central Kalimantan,Kalimantan,72945,4913
Central Sulawesi,Sulawesi,105545,7108
East Java,Java,66365,4469
East Kalimantan,Kalimantan,238700,16075
East Nusa Tenggara,Lesser Sunda Islands,21718,1462
Gorontalo,Sulawesi,39887,2686
Jakarta,Java,298360,20093
Jambi,Sumatra,76096,5125
Lampung,Sumatra,45129,3039
Maluku,Maluku Islands,28534,1922
North Kalimantan,Kalimantan,190611,12837
North Maluku,Maluku Islands,53741,3619
North Sulawesi,Sulawesi,59043,3976
North Sumatra,Sumatra,63194,4256
Papua,Western New Guinea,59412,4001
Riau,Sumatra,149914,10096
Riau Islands,Sumatra,141682,9542
South Kalimantan,Kalimantan,60079,4046
South Sulawesi,Sulawesi,65593,4417
South Sumatra,Sumatra,68338,4602
Southeast Sulawesi,Sulawesi,58764,3958
Special Region of Yogyakarta,Java,44045,2966
West Java,Java,49038,3302
West Kalimantan,Kalimantan,46161,3109
West Nusa Tenggara,Lesser Sunda Islands,28673,1931
West Papua,Western New Guinea,77149,5196
West Sulawesi,Sulawesi,37070,2497
West Sumatra,Sumatra,50593,3407
