Year_Province,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South Kalimantan,South Sulawesi,South Sumatra,Southeast Sulawesi,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2010,0.6709,0.7010,0.6602,0.6754,0.6535,0.6608,0.6596,0.6329,0.6536,0.7131,0.5921,0.6265,0.7631,0.6539,0.6371,0.6427,0,0.6279,0.6783,0.6709,0.5445,0.6865,0.7113,0.6520,0.6600,0.6444,0.6599,0.7537,0.6615,0.6197,0.6116,0.5960,0.5974,0.6725
2011,0.6745,0.7087,0.6659,0.6822,0.6596,0.6664,0.6638,0.6427,0.6606,0.7202,0.6024,0.6348,0.7698,0.6614,0.6420,0.6475,0,0.6319,0.6831,0.6734,0.5501,0.6890,0.7161,0.6589,0.6665,0.6512,0.6652,0.7593,0.6667,0.6235,0.6214,0.5990,0.6063,0.6781
2012,0.6781,0.7162,0.6721,0.6892,0.6661,0.6721,0.6666,0.6500,0.6674,0.7262,0.6081,0.6416,0.7753,0.6694,0.6487,0.6543,0,0.6393,0.6904,0.6774,0.5555,0.6915,0.7236,0.6668,0.6726,0.6579,0.6707,0.7615,0.6732,0.6341,0.6298,0.6030,0.6101,0.6836
2013,0.6830,0.7209,0.6792,0.6947,0.6750,0.6802,0.6741,0.6579,0.6755,0.7321,0.6168,0.6470,0.7808,0.6776,0.6573,0.6609,0.6799,0.6478,0.6949,0.6836,0.5625,0.6991,0.7302,0.6717,0.6792,0.6616,0.6755,0.7644,0.6825,0.6430,0.6376,0.6091,0.6153,0.6891
2014,0.6881,0.7248,0.6827,0.6989,0.6806,0.6878,0.6777,0.6643,0.6814,0.7382,0.6226,0.6517,0.7839,0.6824,0.6642,0.6674,0.6864,0.6518,0.6996,0.6887,0.5675,0.7033,0.7340,0.6763,0.6849,0.6675,0.6807,0.7681,0.6880,0.6489,0.6431,0.6128,0.6224,0.6936
2015,0.6945,0.7327,0.6905,0.7027,0.6859,0.6949,0.6853,0.6676,0.6895,0.7417,0.6267,0.6586,0.7899,0.6889,0.6695,0.6705,0.6876,0.6591,0.7039,0.6951,0.5725,0.7084,0.7375,0.6838,0.6915,0.6746,0.6875,0.7759,0.6950,0.6559,0.6519,0.6173,0.6296,0.6998
2016,0.7000,0.7365,0.6955,0.7096,0.6933,0.6998,0.6913,0.6747,0.6974,0.7459,0.6313,0.6629,0.7960,0.6962,0.6765,0.6760,0.6920,0.6663,0.7105,0.7000,0.5805,0.7120,0.7399,0.6905,0.6976,0.6824,0.6931,0.7838,0.7005,0.6588,0.6581,0.6221,0.6360,0.7073
2017,0.7060,0.7430,0.6999,0.7142,0.6995,0.7052,0.6979,0.6811,0.7027,0.7512,0.6373,0.6701,0.8006,0.6999,0.6825,0.6819,0.6984,0.6720,0.7166,0.7057,0.5909,0.7179,0.7445,0.6965,0.7034,0.6886,0.6986,0.7889,0.7069,0.6626,0.6658,0.6299,0.6430,0.7124
2018,0.7119,0.7477,0.7067,0.7195,0.7064,0.7112,0.7042,0.6888,0.7077,0.7583,0.6439,0.6771,0.8047,0.7065,0.6902,0.6887,0.7056,0.6776,0.7220,0.7118,0.6006,0.7244,0.7484,0.7017,0.7090,0.6939,0.7061,0.7953,0.7130,0.6698,0.6730,0.6374,0.6510,0.7173
2019,0.7190,0.7538,0.7130,0.7244,0.7121,0.7173,0.7091,0.6950,0.7150,0.7661,0.6523,0.6849,0.8076,0.7126,0.6957,0.6945,0.7115,0.6870,0.7299,0.7174,0.6084,0.7300,0.7548,0.7072,0.7166,0.7002,0.7120,0.7999,0.7203,0.6765,0.6814,0.6470,0.6573,0.7239
2020,0.7199,0.7550,0.7147,0.7245,0.7140,0.7187,0.7105,0.6955,0.7171,0.7624,0.6519,0.6868,0.8077,0.7129,0.6969,0.6949,0.7063,0.6849,0.7293,0.7177,0.6044,0.7271,0.7559,0.7091,0.7193,0.7001,0.7145,0.7997,0.7209,0.6766,0.6825,0.6509,0.6611,0.7238
2021,0.7218,0.7569,0.7169,0.7272,0.7164,0.7216,0.7125,0.6979,0.7214,0.7688,0.6528,0.6900,0.8111,0.7163,0.6990,0.6971,0.7119,0.6876,0.7330,0.7200,0.6062,0.7294,0.7579,0.7128,0.7224,0.7024,0.7166,0.8022,0.7245,0.6790,0.6865,0.6526,0.6636,0.7265
2022,0.7280,0.7640,0.7220,0.7330,0.7220,0.7280,0.7160,0.7030,0.7270,0.7740,0.6590,0.6980,0.8160,0.7210,0.7040,0.7020,0.7180,0.6950,0.7380,0.7270,0.6140,0.7350,0.7660,0.7180,0.7280,0.7090,0.7220,0.8060,0.7310,0.6859,0.6950,0.6590,0.6690,0.7320
2023,0.7340,0.7710,0.7280,0.7390,0.7280,0.7340,0.7220,0.7090,0.7340,0.7820,0.6670,0.7040,0.8250,0.7280,0.7110,0.7090,0.7250,0.7020,0.7440,0.7340,0.6220,0.7400,0.7710,0.7250,0.7350,0.7160,0.7280,0.8110,0.7370,0.6940,0.7020,0.6670,0.6750,0.7370
