Id,Province,Region,Per capita (thousand RP),Per capita Nominal (USD)
1,Aceh,Sumatra,41424,2718
2,Bali,Lesser Sunda Islands,62293,4087
3,Bangka Belitung Islands,Sumatra,67885,4454
4,Banten,Java,66147,4340
5,Bengkulu,Sumatra,46285,3036
6,Central Java,Java,45199,2965
7,Central Kalimantan,Kalimantan,75294,4940
8,Central Papua,Western New Guinea,103504,6791
9,Central Sulawesi,Sulawesi,112461,7378
10,East Java,Java,71122,4667
11,East Kalimantan,Kalimantan,215761,14155
12,East Nusa Tenggara,Lesser Sunda Islands,23078,1514
13,Gorontalo,Sulawesi,42347,2778
14,Highland Papua,Western New Guinea,16870,1107
15,Jakarta,Java,322615,21166
16,Jambi,Sumatra,79836,5238
17,Lampung,Sumatra,48194,3162
18,Maluku,Maluku Islands,30456,1998
19,North Kalimantan,Kalimantan,201749,13236
20,North Maluku,Maluku Islands,63677,4172
21,North Sulawesi,Sulawesi,64131,4207
22,North Sumatra,Sumatra,68306,4481
23,Papua,Western New Guinea,78062,5121
24,Riau,Sumatra,154522,10138
25,Riau Islands,Sumatra,154179,10115
26,South Kalimantan,Kalimantan,63779,4184
27,South Papua,Western New Guinea,58680,3850
28,South Sulawesi,Sulawesi,69702,4573
29,South Sumatra,Sumatra,71950,4720
30,Southeast Sulawesi,Sulawesi,64088,4205
31,Southwest Papua,Western New Guinea,58450,3835
32,Special Region of Yogyakarta,Java,48358,3173
33,West Java,Java,52652,3454
34,West Kalimantan,Kalimantan,48809,3202
35,West Nusa Tenggara,Lesser Sunda Islands,29926,1963
36,West Papua,Western New Guinea,108102,7092
37,West Sulawesi,Sulawesi,39533,2594
38,West Sumatra,Sumatra,54327,3564
