Id,Province,Region
1,Aceh,Sumatra
2,Bali,Lesser Sunda Islands
3,Bangka Belitung Islands,Sumatra
4,Banten,Java
5,Bengkulu,Sumatra
6,Central Java,Java
7,Central Kalimantan,Kalimantan
8,Central Papua,Western New Guinea
9,Central Sulawesi,Sulawesi
10,East Java,Java
11,East Kalimantan,Kalimantan
12,East Nusa Tenggara,Lesser Sunda Islands
13,Gorontalo,Sulawesi
14,Highland Papua,Western New Guinea
15,Jakarta,Java
16,Jambi,Sumatra
17,Lampung,Sumatra
18,Maluku,Maluku Islands
19,North Kalimantan,Kalimantan
20,North Maluku,Maluku Islands
21,North Sulawesi,Sulawesi
22,North Sumatra,Sumatra
23,Papua,Western New Guinea
24,Riau,Sumatra
25,Riau Islands,Sumatra
26,South Kalimantan,Kalimantan
27,South Papua,Western New Guinea
28,South Sulawesi,Sulawesi
29,South Sumatra,Sumatra
30,Southeast Sulawesi,Sulawesi
31,Southwest Papua,Western New Guinea
32,Special Region of Yogyakarta,Java
33,West Java,Java
34,West Kalimantan,Kalimantan
35,West Nusa Tenggara,Lesser Sunda Islands
36,West Papua,Western New Guinea
37,West Sulawesi,Sulawesi
38,West Sumatra,Sumatra
